Company,City,Phones,WhatsApp,Email,Website,Address
73 Avenue Realtors,Colombo,+94763607373,+94763607373,info@73avenuerealtors.com,https://73avenuerealtors.com/,"75/7 Ward Pl, Colombo 00700"
Real Mark Property (Pvt) Ltd,Colombo,+94117007669; +94772488100,+94772488100,contact@realmark.lk,https://realmark.lk/,"Colombo, Sri Lanka"
Grace Properties,Colombo,+94703001134; +94740470407; +94761922518,+94761922518,jennifer@graceproperties.lk,https://www.graceproperties.lk/contact/,"No 1/119/410, Bauddhaloka Mawatha,Colombo 07 , Sri Lanka 00700"
Ceylon Estate Agents,Colombo,+94775742574,+94775742574,info@ceylonestateagents.com,https://www.ceylonestateagents.com/?srsltid=AfmBOop9zRgXNYvy7EymF3sona4ArnGRiDD6k5bg8sjLukBEgwb4921s,"Colombo, Sri Lanka"
Real Estate Agent Colombo,Colombo,+94711582112,,,https://www.yocale.com/b/realestateagentcmb,"1 Rotunda Gardens, Colombo 00300, Sri Lanka"
Nire Realtors,Colombo,+94711622982,+94711622982,,https://www.nirerealtors.com/,
Mahas Real Estate,Colombo,+94768000302,+94768000302,yes@mahasrealestate.com,https://mahasrealestate.com/,"2nd Floor, McLaren's Building, 123 Bauddhaloka Mw, Colombo 4. Sri Lanka."
Atlanka Realtors (Private) Limited,Colombo,+94775146176,+94775146176,,https://www.atlanka.com/,"John Rodrigo Mawatha, Moratuwa, Sri Lanka"
Online Property Promotion,Colombo,+94717570580,,,https://www.propertypromotion.lk/p/blog-page.html,
Pan Global Property,Colombo,+94115300100; +94722500700; +94722700900,+94722700900,info@panglobalproperty.com,https://panglobalproperty.lk/,"No.351/1, Duplication Road, Colombo 03, Sri Lanka"
Prime Lands,Colombo,+94112030890; +94112699822,,info@primelands.lk,https://www.primelands.lk/,"No.75, D.S. Senanayake Mawatha, Borella, Colombo-08, Sri Lanka"
Bhoomi Realty Holdings,Ethul Kotte,+94112030802; +94112075060; +94112093906; +94719136666; +94719152222,,info@bhoomirealty.lk,https://bhoomirealty.lk/,"No 885 Kotte Rd, Ethul Kotte."
Lanka Real Estate,Galle,+94777720249; +94777760615,+94777760615,sales@lankarealestate.com,https://lankarealestate.com/sale/about-us/,"16th century Portuguese Fort of Galle, Sri Lanka"
Mister T Real Estate,Sri Jayawardenepura Kotte,+94773252566,,info@mistert.lk,https://mistert.lk/,"8/6 1st Ln, Sri Jayawardenepura Kotte 11222, Sri Lanka"
PropertyGuide ikman,Colombo,+94770788788,,,https://propertyguide.lk/en,
Khane Properties (Pvt) Ltd,Colombo,+94114848848,,info@khane.com,https://www.khane.lk/,
RE/MAX Sri Lanka,Colombo,+94117001700; +94776667780,,admin@remax.lk,https://www.remax.lk/,
Ceylon Real Estate,Galle,+94777911192,+94777911192,shane@ceylonrealestate.com,https://ceylonrealestate.com/,
Lanka Property Market,Battaramulla,+94711589615; +94740804675,,info@lankapropertymarket.com,https://lankapropertymarket.com/property-type/apartment/,"Bunt Road, Battaramulla"
Colombo Property,Colombo,+94727199900,,,https://www.fastbase.com/countryindex/sri-lanka/s/short-term-apartment-rental-agency,Spathodea Ave
AKARA Apartments,Colombo,+94743012977; +94773434631; +94773744156; +94778978277,,info@akaraapartments.lk,https://akaraapartments.lk/,20/8 Fairfield gardens
Sri Lanka Luxury Property,Rajagiriya,+94719120000,,info@srilankaluxuryproperty.com,https://srilankaluxuryproperty.com/contact-us/,"No 11/A, School lane, Nawala, Rajagiriya, Sri Lanka"
EK Properties,Colombo,+94777813582,+94777813582,hello@expatkey.com,https://expatkey.com/city/colombo-03/,"Colombo, Sri Lanka"
Colombo Real Estate & Relocation Services,Colombo,+94117396630; +94777668885,+94777668885,hello@colombores.com,https://colomborealestate.com/,"No. 66 Welikada Plaza, Rajagiriya, Sri Lanka"
Lanka Estates Co.,Sri Lanka,+94776344758,+94776344758,elanka.world@outlook.com,https://www.zalanka.com/sri-lanka/Real-Estate,E Lanka World (pvt) Ltd Sri Lanka
Mondinion,Colombo,+94716351482; +94771149387; +94772672252; +94772960333; +94774948638; +94777235780; +94777315001; +94777322072; +94777424994; +94777907303,,,https://www.mondinion.com/Real_Estate_Agents/country/Sri_Lanka/from/50/,
Ceylon Brokers,Colombo,+94741137025,+94741137025,hello@ceylonbrokers.lk,https://ceylonbrokers.lk/,"Colombo, Sri Lanka"
DRN Agencies,Colombo,+94711255464; +94711400199; +94727003322; +94743113575,,,https://www.expat.com/en/business/asia/sri-lanka/2_real-estate/125_real-estate-brokers/,"345/58, Kuruppu Lane, Borella, Colombo 08, Western"
Prime Realty,Colombo,+94706295644; +94707007111,+94706295644,hello@primerealty.lk,https://primerealty.lk/,"No: 75, D.S. Senanayake Mawatha, Borella, Colombo-08, Sri Lanka."
DreamHomes Realty,,+94774446063,,udesh.senadeera@dreamhomes.com,https://dreamhomes.lk/agent/1930d0f9-5246-485c-8385-7c985b7eefdc,
Lavinia Properties Lanka,Colombo,+94112585885,,info@laviniapropertieslanka.com,https://laviniapropertieslanka.com/,"125, Fife Rd, Colombo 05"
Elite Properties Consultancy (PVT) LTD,Colombo,+94761186850; +94777380625,+94777380625,elitepropertiessl@gmail.com,https://elitepropertiessl.com/,"Galleface Terrace, Colombo 03"
Aitken Spence PLC,Colombo,+94112308308; +94112445406,,info@aitkenspence.lk,https://www.aitkenspence.com/our-expertise/services/property-management,"315, Vauxhall Street, Colombo 02, Sri Lanka."
